indic_id,enforce_zone_id,metric_enforce_date,maille,indic_vi,indic_va,indic_vc,indic_ta
IND-278,FRANCE,2021-12-31,NAT,61.1,61.0,,
IND-278,FRANCE,2022-12-31,NAT,,60.3,,0.0
IND-278,FRANCE,2026-12-31,NAT,,,80.0,
IND-278,R01,2021-12-31,REG,32.9,31.0,,
IND-278,R01,2022-12-31,REG,,33.3,,4.49
IND-278,R01,2026-12-31,REG,,,41.8,
IND-278,R02,2021-12-31,REG,37.0,35.0,,
IND-278,R02,2022-12-31,REG,,36.5,,0.0
IND-278,R02,2026-12-31,REG,,,47.0,
IND-278,R03,2021-12-31,REG,9.9,10.0,,
IND-278,R03,2022-12-31,REG,,9.4,,0.0
IND-278,R03,2026-12-31,REG,,,40.0,
IND-278,R04,2021-12-31,REG,35.2,34.0,,
IND-278,R04,2022-12-31,REG,,33.4,,0.0
IND-278,R04,2026-12-31,REG,,,53.2,
IND-278,R11,2021-12-31,REG,48.4,49.0,,
IND-278,R11,2022-12-31,REG,,48.5,,0.72
IND-278,R11,2026-12-31,REG,,,62.2,
IND-278,R24,2021-12-31,REG,68.9,63.0,,
IND-278,R24,2022-12-31,REG,,68.5,,0.0
IND-278,R24,2026-12-31,REG,,,89.4,
IND-278,R27,2021-12-31,REG,79.5,82.0,,
IND-278,R27,2022-12-31,REG,,83.3,,31.4
IND-278,R27,2026-12-31,REG,,,91.6,
IND-278,R28,2021-12-31,REG,58.7,61.0,,
IND-278,R28,2022-12-31,REG,,63.4,,18.73
IND-278,R28,2026-12-31,REG,,,83.8,
IND-278,R32,2021-12-31,REG,67.1,67.0,,
IND-278,R32,2022-12-31,REG,,61.7,,0.0
IND-278,R32,2026-12-31,REG,,,82.6,
IND-278,R44,2021-12-31,REG,65.4,64.0,,
IND-278,R44,2022-12-31,REG,,61.3,,0.0
IND-278,R44,2026-12-31,REG,,,83.2,
IND-278,R52,2021-12-31,REG,81.8,80.0,,
IND-278,R52,2022-12-31,REG,,78.9,,0.0
IND-278,R52,2026-12-31,REG,,,92.0,
IND-278,R53,2021-12-31,REG,76.0,77.0,,
IND-278,R53,2022-12-31,REG,,75.1,,0.0
IND-278,R53,2026-12-31,REG,,,92.6,
IND-278,R75,2021-12-31,REG,72.6,74.0,,
IND-278,R75,2022-12-31,REG,,71.3,,0.0
IND-278,R75,2026-12-31,REG,,,93.2,
IND-278,R76,2021-12-31,REG,62.4,61.0,,
IND-278,R76,2022-12-31,REG,,59.9,,0.0
IND-278,R76,2026-12-31,REG,,,83.8,
IND-278,R84,2021-12-31,REG,63.2,62.0,,
IND-278,R84,2022-12-31,REG,,68.0,,23.53
IND-278,R84,2026-12-31,REG,,,83.6,
IND-278,R93,2021-12-31,REG,42.7,44.0,,
IND-278,R93,2022-12-31,REG,,41.8,,0.0
IND-278,R93,2026-12-31,REG,,,69.2,
IND-278,R94,2021-12-31,REG,52.4,55.0,,
IND-278,R94,2022-12-31,REG,,51.2,,0.0
IND-278,R94,2026-12-31,REG,,,79.0,
